state,town,college1990,male1990,black1990,hisp1990,income1990,logincome1990,subrf2000,gopvoteshare1992,gopvoteshare1996,gopvoteshare2000
Mn,Vernon,0.098850578,0.50283289,0,0,1.698176503,0.52955503,0,0.517857143,0.498316498,0.607449857
Mn,Comfrey,0.116959065,0.467248917,0,0,1.843799949,0.611828632,0,0.462427746,0.404145078,0.489583333
Mn,Hanska,0.045454547,0.475770921,0,0,2.258300066,0.814612347,0,0.216374269,0.25625,0.419354839
Mn,New Ulm,0.153101474,0.468397796,0,0.004774536,2.579699993,0.94767311,0,0.543913713,0.494111252,0.573719926
Mn,Sleepy Eye,0.117984429,0.464537084,0.000540249,0.012965964,2.205399752,0.790908786,0,0.641332195,0.608874281,0.67674586
Mn,Springfield,0.130663171,0.462954432,0,0.005946935,2.082099915,0.733376959,0,0.533428165,0.510664994,0.595321637
Mn,Barnum,0.128534704,0.513137579,0,0.008429118,1.800749421,0.588202923,0,0.335390947,0.357407407,0.397677794
Mn,Carlton,0.119086459,0.486813188,0.005464481,0.005464481,2.00999999,0.698134717,0,0.298657718,0.268370607,0.344311377
Mn,Cloquet,0.133268073,0.464768022,0.000732467,0.003662333,2.240499973,0.806699043,0,0.328854314,0.311016144,0.363916256
Mn,Moose Lake,0.137640446,0.478890717,0.007416564,0.004532345,1.397938251,0.334998474,0,0.37370892,0.360887097,0.414055081
Mn,Scanlon,0.11582382,0.480637819,0,0,2.68479991,0.987606204,0,0.303797468,0.304651163,0.353200883
Mn,Wrenshall,0.117283948,0.50081569,0.003241491,0.006482982,1.926851392,0.655887268,0,0.311881188,0.327433628,0.37630662
Mn,Carver,0.116228074,0.540166199,0,0,4.083300114,1.406905513,0,0.328301887,0.320987654,0.575260805
Mn,Chanhassen,0.412489742,0.513296962,0.003315763,0.003570821,5.201099396,1.648870026,0,0.588620625,0.565304756,0.623481388
Mn,Chaska,0.1801828,0.488093168,0.000518314,0.006738079,3.382967949,1.218753416,0,0.469049288,0.43954563,0.571272678
Mn,Cologne,0.022857143,0.493716329,0,0.003577817,3.125,1.139434283,0,0.419354839,0.384858044,0.578838174
Mn,Hamburg,0.103773586,0.487951815,0,0,2.986099958,1.093968174,0,0.676470588,0.572687225,0.740601504
Mn,Mayer,0.128676474,0.494023919,0,0.007905139,3.0625,1.119231576,0,0.606741573,0.54040404,0.694214876
Mn,New Germany,0.056074765,0.46579805,0.013029316,0,2.240400076,0.806654455,0,0.672131148,0.51754386,0.743055556
Mn,Victoria,0.285810351,0.506796956,0.010186757,0.000848896,4.897299767,1.588683985,0,0.582314205,0.557579701,0.65253078
Mn,Waconia,0.143850774,0.483385593,0.000834725,0.002921536,2.585833311,0.95004782,0,0.553351206,0.49668325,0.626208651
Mn,Watertown,0.088003501,0.491083324,0,0.002925532,2.331670761,0.846585075,0,0.531298905,0.486342438,0.634054563
Mn,Young America,0.117381491,0.498237878,0.000876808,0.007891276,2.24662137,0.809427474,0,0.600795756,0.537298387,0.756544503
Mn,Backus,0.025477707,0.444444448,0,0,1.046900034,0.045833449,0,0.435294118,0.404761905,0.546391753
Mn,Barclay,0.102766797,0.522891581,0,0.004796163,1.833299994,0.606117619,0,0.574324324,0.546583851,0.684647303
Mn,Birch Lake,0.084548108,0.498876393,0,0,1.70449996,0.533271789,0,0.451361868,0.416083916,0.531914894
Mn,Cass Lake,0.04770318,0.436363637,0.007407407,0.011640212,1.0898,0.085994193,0,0.309623431,0.25,0.264150943
Mn,Chickamaw Beach,0.101265825,0.471074373,0,0,2.875,1.056052674,0,0.591836735,0.545454545,0.652777778
Mn,Crooked Lake,0.09259259,0.51692307,0,0.006116208,1.581900001,0.458626657,0,0.356097561,0.360323887,0.517799353
Mn,East Gull Lake,0.234741777,0.552906096,0,0.004470939,3.224999905,1.170932921,0,0.702064897,0.617582418,0.68833652
Mn,Fairview,0.206477731,0.491228074,0,0.020057306,2.671900034,0.982789843,0,0.617777778,0.616236162,0.659638554
Mn,Hackensack,0.089385472,0.437768251,0,0,1.531299949,0.426117014,0,0.380597015,0.4,0.403846154
Mn,Hiram,0.234177217,0.486111104,0,0,2.430599928,0.888138111,0,0.368794326,0.43373494,0.595238095
Mn,Kego,0.121076234,0.547231257,0,0,2.135400057,0.758654009,31.20316565,0.417808219,0.453038674,0.54789272
Mn,Leech Lake,0.163157895,0.490624994,0,0,2.571399927,0.944450469,31.20316565,0.607142857,0.621118012,0.655660377
Mn,Longville,0.084415585,0.427385896,0,0,1.649999976,0.500775273,31.20316565,0.465517241,0.470588235,0.603773585
Mn,Loon Lake,0.074074075,0.527559042,0,0,1.75,0.559615788,0,0.53,0.523809524,0.658536585
Mn,Pike Bay,0.077131256,0.496750891,0.001436782,0.005028736,1.809200048,0.592884785,0,0.265625,0.259009009,0.285984848
Mn,Pillager,0.137755096,0.478260875,0.010033445,0,1.82949996,0.604042684,0,0.610687023,0.42519685,0.607142857
