"","voter.id","treatment","victim.status","ge2000","ge2002","fam.members","age","party","sex","pct.white","median.income"
"38967",38377,0,3,"N",0,1,28,"N","F",0.912656,65526
"38968",38378,0,3,"N",0,1,37,"N","M",0.864472,65341
"38969",38379,0,3,"N",0,2,35,"N","M",0.878344,60528
"38970",38380,0,3,"Y",1,1,32,"D","M",0.924603,38472
"38971",38381,0,3,"Y",0,2,27,"N","F",0.589123,49962
"38972",38382,0,3,"N",0,1,29,"N","M",0.589123,49962
"38973",38383,0,2,"Y",0,1,48,"D","F",0.809458,65893
"38974",38384,0,3,"Y",0,1,36,"N","M",0.79021,33182
"38975",38385,0,2,"N",0,1,25,"D","F",0.949841,70756
"38976",38386,0,3,"N",0,2,41,"N","F",0.856441,59189
"38977",38387,0,3,"N",0,1,42,"D","M",0.856441,59189
"38978",38388,0,3,"N",0,1,58,"N","M",0.689034,57500
"38979",38389,0,3,"N",0,1,28,"N","M",0.69884,60382
"38980",38390,1,3,"Y",1,4,73,"D","F",0.712379,63250
"38981",38391,0,3,"N",0,1,44,"D","M",0.894168,71632
"38982",38392,1,3,"N",0,4,34,"D","M",0.712379,63250
"38983",38393,0,3,"N",0,1,23,"N","F",0.856441,59189
"38984",38394,1,2,"Y",1,1,30,"N","F",0.878344,60528
"38985",38395,0,3,"N",0,2,43,"N","M",0.924923,55579
"38986",38396,0,3,"N",0,1,57,"N","M",0.924528,59632
"38987",38397,0,2,"N",0,1,32,"N","F",0.880835,67143
"38988",38398,0,3,"N",0,2,41,"N","F",0.894168,71632
"38989",38399,0,3,"N",1,2,42,"N","M",0.894168,71632
"38990",38400,0,3,"N",0,1,27,"N","M",0.622432,30119
"38991",38401,1,3,"N",0,1,31,"D","F",0.721805,50859
"38992",38402,1,3,"N",0,1,30,"N","M",0.047478,21432
"38993",38403,0,3,"N",0,2,31,"D","F",0.782348,56042
"38994",38404,0,3,"N",0,1,32,"N","F",0.949841,70756
"38995",38405,0,3,"N",0,1,30,"N","M",0.878344,60528
"38996",38406,0,3,"Y",0,1,45,"D","M",0.878344,60528
"38997",38407,0,3,"N",0,2,20,"D","F",0.664785,80685
"38998",38408,0,3,"Y",1,2,50,"N","M",0.589123,49962
"38999",38409,0,2,"Y",0,1,45,"N","F",0.878344,60528
"39000",38410,0,3,"Y",1,2,45,"D","M",0.878344,60528
"39001",38411,0,3,"Y",1,2,42,"D","F",0.878344,60528
"39002",38412,0,3,"Y",0,1,36,"D","M",0,14348
"39003",38413,0,3,"N",0,2,47,"N","M",0.908057,82406
"39004",38414,0,3,"N",0,2,40,"N","F",0.856415,55931
"39005",38415,0,3,"N",1,2,35,"N","M",0.689034,57500
"39006",38416,0,3,"Y",0,2,27,"N","F",0.963964,74946
"39007",38417,0,3,"N",0,2,64,"D","M",0.963964,74946
"39008",38418,0,3,"Y",0,1,41,"N","F",0.873582,63958
"39009",38419,0,2,"N",0,1,45,"N","F",0.689034,57500
"39010",38420,1,3,"Y",0,1,46,"D","F",0.924603,38472
"39011",38421,0,3,"Y",0,1,40,"N","M",0.589123,49962
"39012",38422,1,2,"N",0,1,34,"D","F",0.548973,47727
"39013",38423,1,3,"Y",0,2,32,"N","F",0.545153,26932
"39014",38424,0,3,"Y",1,1,44,"D","M",0.858516,50357
"39015",38425,0,3,"N",0,1,45,"D","F",0.551479,34417
"39016",38426,0,3,"Y",1,1,61,"D","F",0.860572,64222
"39017",38427,0,3,"N",0,2,84,"D","F",0.889011,74135
"39018",38427,0,3,"N",0,2,84,"D","F",0.889011,74135
"39019",38428,0,2,"Y",1,1,52,"D","M",0.703213,50164
"39020",38429,0,3,"N",0,2,22,"N","M",0.081545,26821
"39021",38430,0,3,"N",0,2,45,"D","M",0.119588,16473
"39022",38431,0,3,"N",0,2,37,"D","M",0.119588,16473
"39023",38432,0,3,"Y",1,2,41,"D","M",0.887472,56824
"39024",38433,0,3,"Y",0,2,38,"N","M",0.924701,64200
"39025",38434,0,3,"N",0,1,38,"D","F",0.01537,15500
"39026",38435,0,3,"N",0,2,40,"N","F",0.007481,17891
"39027",38436,0,3,"Y",0,3,21,"D","M",0.894168,71632
"39028",38437,0,3,"N",0,2,95,"D","F",0.960076,69125
"39029",38438,0,3,"Y",1,2,82,"N","M",0.912656,65526
"39030",38439,1,3,"Y",0,3,42,"N","M",0.703213,50164
"39031",38440,0,3,"N",0,2,77,"D","F",0.413408,63214
"39032",38441,0,3,"N",1,6,32,"D","M",0.689034,57500
"39033",38441,0,3,"N",1,6,32,"D","M",0.689034,57500
"39034",38442,0,3,"Y",0,1,28,"D","F",0.80675,62750
"39035",38443,0,3,"N",0,1,59,"N","M",0.946636,66971
"39036",38444,0,3,"N",0,1,30,"N","F",0.508127,42429
"39037",38445,0,3,"N",0,2,31,"D","F",0.864472,65341
"39038",38446,0,3,"Y",1,2,50,"D","M",0.347364,31563
"39039",38447,0,3,"Y",0,1,30,"N","M",0.823461,50417
"39040",38448,0,3,"N",0,1,27,"D","M",0.359508,54375
"39041",38449,1,3,"N",0,1,34,"D","F",0.813762,64226
"39042",38450,0,3,"N",0,2,35,"N","F",0.894168,71632
"39043",38451,0,3,"N",0,1,25,"N","F",0.869811,52500
"39044",38452,0,3,"N",0,1,37,"D","F",0.887472,56824
"39045",38453,0,3,"Y",0,2,33,"N","F",0.942857,60625
"39046",38454,0,3,"N",0,2,29,"N","M",0.589123,49962
"39047",38455,0,3,"Y",0,2,37,"N","M",0.942857,60625
"39048",38456,0,3,"N",0,2,36,"N","F",0.689034,57500
"39049",38457,0,3,"Y",0,1,20,"N","F",0.016156,30833
"39050",38458,0,3,"N",0,1,37,"D","M",0.008188,23696
"39051",38459,0,3,"N",0,1,31,"N","F",0.953431,50724
"39052",38460,0,3,"N",0,1,28,"N","M",0.757447,41989
"39053",38461,0,3,"N",0,1,35,"D","F",0.42604,28026
"39054",38462,0,3,"N",0,1,34,"N","M",0.346669,32135
"39055",38463,0,3,"N",0,2,21,"N","F",0,27953
"39056",38464,1,3,"N",0,2,27,"D","F",0.86893,61829
"39057",38465,0,3,"N",0,1,27,"N","M",0.768697,36985
"39058",38466,0,3,"N",0,1,26,"N","F",0.68863,32287
"39059",38467,0,3,"N",0,1,38,"D","F",0,23667
"39060",38468,0,3,"N",0,3,39,"D","F",0.689034,57500
"39061",38468,0,2,"N",0,3,39,"D","F",0.689034,57500
"39062",38469,0,3,"N",0,3,43,"N","M",0.689034,57500
"39063",38470,0,3,"N",0,1,45,"D","F",0.856529,33009
"39064",38471,0,3,"Y",0,2,36,"N","F",0.395437,33633
"39065",38472,0,3,"N",0,1,37,"N","M",0.837893,43889
"39066",38473,0,3,"Y",0,1,70,"D","F",0.943726,51818
"39067",38474,0,3,"N",0,1,26,"D","M",0.346669,32135
"39068",38475,1,3,"N",0,2,28,"D","M",0.303438,40500
